datetime,portfolio_value,cash,positions,return
2022-07-23 09:30:00-04:00,113945.19391357421,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-07-23 09:29:00-04:00,113945.19391357421,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-07-25 08:30:00-04:00,113208.59143554687,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",-0.006464533103397452
2022-07-25 09:30:00-04:00,113208.59143554687,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-07-25 09:30:00-04:00,113208.59143554687,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-07-26 09:30:00-04:00,113283.98984252929,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0006660131181417395
2022-07-27 09:30:00-04:00,114375.84409057617,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.009638204388498384
2022-07-28 09:30:00-04:00,115200.89001953125,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.007213463083181271
2022-07-29 09:30:00-04:00,115200.89001953125,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-07-30 09:30:00-04:00,115200.89001953125,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-07-30 09:29:00-04:00,115200.89001953125,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-01 08:30:00-04:00,115424.19125854492,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0019383638353471788
2022-08-01 09:30:00-04:00,115424.19125854492,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-01 09:30:00-04:00,115424.19125854492,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-02 09:30:00-04:00,115595.2901965332,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.00148234903032618
2022-08-03 09:30:00-04:00,116185.44125854492,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.005105320995417273
2022-08-04 09:30:00-04:00,115502.49249755859,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",-0.005878092414922986
2022-08-05 09:30:00-04:00,115502.49249755859,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-06 09:30:00-04:00,115502.49249755859,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-06 09:29:00-04:00,115502.49249755859,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-08 08:30:00-04:00,115873.69214355468,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0032137803952927424
2022-08-08 09:30:00-04:00,115873.69214355468,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-08 09:30:00-04:00,115873.69214355468,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-09 09:30:00-04:00,116824.89178955078,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.00820893533639766
2022-08-10 09:30:00-04:00,117435.3405505371,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.005225331276882184
2022-08-11 09:30:00-04:00,117296.14178955078,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",-0.0011853225812074042
2022-08-12 09:30:00-04:00,117296.14178955078,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-13 09:30:00-04:00,117296.14178955078,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-13 09:29:00-04:00,117296.14178955078,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
