symbol,unix_open,unix_close,date_open,date_close,open,high,low,close,volume,dollar_volume,tick_size
ETHUSDT,1683664724832,1683664908497,2023-05-09 20:38:44.832000,2023-05-09 20:41:48.497000,1847.3,1848.39,1846.18,1846.6,1099.091,2030257.31,1500
ETHUSDT,1683664470679,1683664724815,2023-05-09 20:34:30.679000,2023-05-09 20:38:44.815000,1849.72,1851.36,1847.29,1847.29,1105.3642,2044596.6,1500
ETHUSDT,1683664073749,1683664470679,2023-05-09 20:27:53.749000,2023-05-09 20:34:30.679000,1851.71,1851.8,1849.21,1849.72,657.2022,1215960.98,1500
ETHUSDT,1683663748072,1683664073747,2023-05-09 20:22:28.072000,2023-05-09 20:27:53.747000,1850.39,1852.35,1849.72,1851.72,618.3173,1144565.68,1500
ETHUSDT,1683663438382,1683663747896,2023-05-09 20:17:18.382000,2023-05-09 20:22:27.896000,1851.58,1851.58,1849.4,1850.4,562.36,1040594.65,1500
ETHUSDT,1683663158403,1683663438382,2023-05-09 20:12:38.403000,2023-05-09 20:17:18.382000,1851.52,1851.91,1850.81,1851.59,778.6916,1441629.52,1500
ETHUSDT,1683662952845,1683663158398,2023-05-09 20:09:12.845000,2023-05-09 20:12:38.398000,1852.47,1853.2,1851.06,1851.52,897.7323,1662834.61,1500
ETHUSDT,1683662811310,1683662952845,2023-05-09 20:06:51.310000,2023-05-09 20:09:12.845000,1852.31,1853.52,1851.62,1852.48,935.7291,1733684.52,1500
ETHUSDT,1683662639985,1683662811310,2023-05-09 20:03:59.985000,2023-05-09 20:06:51.310000,1857.75,1857.76,1852.11,1852.31,618.9702,1148282.1,1500
ETHUSDT,1683662530030,1683662639985,2023-05-09 20:02:10.030000,2023-05-09 20:03:59.985000,1859.12,1859.66,1857.36,1857.76,1077.6163,2002489.07,1500
ETHUSDT,1683662499530,1683662530027,2023-05-09 20:01:39.530000,2023-05-09 20:02:10.027000,1860.12,1861.88,1858.51,1859.12,1356.1854,2522942.96,1500
ETHUSDT,1683662481237,1683662499527,2023-05-09 20:01:21.237000,2023-05-09 20:01:39.527000,1856.89,1861.35,1856.8,1860.2,1260.3939,2343606.07,1500
ETHUSDT,1683662461845,1683662481222,2023-05-09 20:01:01.845000,2023-05-09 20:01:21.222000,1854.62,1858.8,1854.61,1856.89,1030.8668,1914271.47,1500
ETHUSDT,1683662400582,1683662461845,2023-05-09 20:00:00.582000,2023-05-09 20:01:01.845000,1852.76,1854.69,1852.76,1854.61,855.2804,1585506.72,1500
ETHUSDT,1683662233321,1683662400582,2023-05-09 19:57:13.321000,2023-05-09 20:00:00.582000,1849.64,1852.96,1849.22,1852.73,912.1056,1688620.51,1500
ETHUSDT,1683662043211,1683662233187,2023-05-09 19:54:03.211000,2023-05-09 19:57:13.187000,1848.39,1850.63,1848.39,1849.65,1055.3394,1952219.41,1500
ETHUSDT,1683661619098,1683662043211,2023-05-09 19:46:59.098000,2023-05-09 19:54:03.211000,1848.09,1848.39,1846.92,1848.36,773.8748,1429858.33,1500
ETHUSDT,1683661323209,1683661619098,2023-05-09 19:42:03.209000,2023-05-09 19:46:59.098000,1846.98,1848.1,1845.92,1848.09,925.2957,1708863.7,1500
ETHUSDT,1683661018840,1683661323209,2023-05-09 19:36:58.840000,2023-05-09 19:42:03.209000,1849.2,1849.52,1845.91,1846.98,1112.5956,2055939.27,1500
ETHUSDT,1683660600004,1683661018840,2023-05-09 19:30:00.004000,2023-05-09 19:36:58.840000,1848.85,1849.42,1848.33,1849.19,942.5504,1742668.88,1500
ETHUSDT,1683660238227,1683660600004,2023-05-09 19:23:58.227000,2023-05-09 19:30:00.004000,1849.16,1849.35,1847.45,1848.85,934.4929,1727531.88,1500
ETHUSDT,1683659989340,1683660238092,2023-05-09 19:19:49.340000,2023-05-09 19:23:58.092000,1847.33,1849.16,1846.4,1849.16,1102.0949,2035995.4,1500
ETHUSDT,1683659734657,1683659989340,2023-05-09 19:15:34.657000,2023-05-09 19:19:49.340000,1843.76,1847.33,1843.76,1847.32,1447.092,2670946.66,1500
